job_category,salary_in_usd,experience_level,work_setting,company_size,Cluster
Leadership and Management,127000.0,Senior,In-person,M,0
Machine Learning and AI,300000.0,Mid-level,In-person,M,2
Machine Learning and AI,260000.0,Mid-level,In-person,M,2
Data Analysis,25000.000000000004,Entry-level,Remote,M,3
Machine Learning and AI,225300.0,Senior,In-person,M,0
Machine Learning and AI,197400.0,Senior,In-person,M,0
Data Engineering,205500.0,Senior,In-person,M,0
Data Engineering,128500.00000000001,Senior,In-person,M,0
Data Architecture and Modeling,191600.0,Senior,In-person,M,0
Data Architecture and Modeling,125600.0,Senior,In-person,M,0
Data Science and Research,130410.0,Mid-level,In-person,M,2
Data Science and Research,91999.99999999999,Mid-level,In-person,M,2
Data Science and Research,183900.0,Senior,In-person,M,0
Data Science and Research,108800.0,Senior,In-person,M,0
Machine Learning and AI,275000.0,Senior,In-person,M,0
Machine Learning and AI,121200.0,Senior,In-person,M,0
Data Science and Research,231250.0,Senior,In-person,M,0
Data Science and Research,111000.0,Senior,In-person,M,0
Data Engineering,300000.0,Senior,In-person,M,0
Data Engineering,130000.0,Senior,In-person,M,0
Data Engineering,210500.0,Mid-level,In-person,M,2
Data Engineering,105300.0,Mid-level,In-person,M,2
Data Engineering,158400.00000000003,Mid-level,In-person,M,2
Data Engineering,85800.0,Mid-level,In-person,M,2
Data Science and Research,156100.0,Senior,In-person,M,0
Data Science and Research,100400.0,Senior,In-person,M,0
Data Analysis,134200.0,Senior,In-person,M,0
Data Analysis,103200.0,Senior,In-person,M,0
Data Analysis,85000.0,Mid-level,In-person,M,2
Data Science and Research,220000.0,Senior,In-person,M,0
Data Science and Research,160000.0,Senior,In-person,M,0
Data Analysis,95000.0,Senior,Remote,M,1
Data Analysis,95400.0,Mid-level,Remote,M,4
Data Analysis,57800.000000000015,Mid-level,Remote,M,4
Data Science and Research,86000.0,Mid-level,In-person,M,2
Machine Learning and AI,170000.0,Senior,In-person,M,0
Data Engineering,133200.0,Senior,Remote,M,1
Data Engineering,84000.0,Senior,Remote,M,1
Data Analysis,171000.0,Senior,In-person,M,0
Data Analysis,93000.0,Senior,In-person,M,0
Leadership and Management,216449.99999999997,Senior,In-person,M,0
Leadership and Management,123750.0,Senior,In-person,M,0
Data Science and Research,212800.0,Senior,In-person,L,0
Data Science and Research,124100.0,Senior,In-person,L,0
Data Science and Research,205000.00000000003,Mid-level,Remote,M,4
